material_id,formula,M,A,X,m_eneg,a_eneg,x_eneg,m_radius,a_radius,x_radius,m_max_oxid,a_max_oxid,tolerance_factor,energy_above_hull,formation_energy_per_atom
mp-627439,Mn3GaN,Mn,Ga,N,1.55,1.81,3.04,1.4,1.3,0.65,7.0,3.0,0.6726,0.0,
mp-20164,Mn3GaC,Mn,Ga,C,1.55,1.81,2.55,1.4,1.3,0.7,7.0,3.0,0.6734,2.037093279,1.917426
mp-21313,Mn3GaC,Mn,Ga,C,1.55,1.81,2.55,1.4,1.3,0.7,7.0,3.0,0.6734,0.0,
mp-1205588,Mn3GeN,Mn,Ge,N,1.55,2.01,3.04,1.4,1.25,0.65,7.0,4.0,0.6554,0.0070517955,-0.283974
mp-20180,Mn3GeC,Mn,Ge,C,1.55,2.01,2.55,1.4,1.25,0.7,7.0,4.0,0.6566,0.039028682739129,-0.057281
mp-22706,Mn3GeC,Mn,Ge,C,1.55,2.01,2.55,1.4,1.25,0.7,7.0,4.0,0.6566,0.013187981739129,
mp-505571,Mn3SnN,Mn,Sn,N,1.55,1.96,3.04,1.4,1.45,0.65,7.0,4.0,0.7244,0.035761241250000006,-0.242732
mp-20860,Mn3SnC,Mn,Sn,C,1.55,1.96,2.55,1.4,1.45,0.7,7.0,4.0,0.7239,0.054929460847825004,0.037649
mp-1207055,Mn3AlN,Mn,Al,N,1.55,1.61,3.04,1.4,1.25,0.65,7.0,3.0,0.6554,0.189247354241381,-0.444155
mp-4593,Mn3AlC,Mn,Al,C,1.55,1.61,2.55,1.4,1.25,0.7,7.0,3.0,0.6566,0.0,
mp-15805,Mn3ZnN,Mn,Zn,N,1.55,1.65,3.04,1.4,1.35,0.65,7.0,2.0,0.6899,0.0,-0.450575
mp-2930,Mn3ZnC,Mn,Zn,C,1.55,1.65,2.55,1.4,1.35,0.7,7.0,2.0,0.6903,0.042486460018391,
mp-672229,Mn3ZnC,Mn,Zn,C,1.55,1.65,2.55,1.4,1.35,0.7,7.0,2.0,0.6903,2.072426614018393,2.025808
mp-1094118,Mn3InC,Mn,In,C,1.55,1.78,2.55,1.4,1.55,0.7,7.0,3.0,0.7576,0.09823857784782401,0.080958
mp-21058,Mn3InC,Mn,In,C,1.55,1.78,2.55,1.4,1.55,0.7,7.0,3.0,0.7576,2.412651787847823,
mp-1070242,Mn3CuN,Mn,Cu,N,1.55,1.9,3.04,1.4,1.35,0.65,7.0,2.0,0.6899,1.903967450249998,1.625474
mp-510380,Mn3CuN,Mn,Cu,N,1.55,1.9,3.04,1.4,1.35,0.65,7.0,2.0,0.6899,0.068832146249999,
mp-1212637,GaFe3N,Fe,Ga,N,1.83,1.81,3.04,1.4,1.3,0.65,3.0,3.0,0.6726,0.037878276999997004,-0.224492
mp-21850,Fe3SnC,Fe,Sn,C,1.83,1.96,2.55,1.4,1.45,0.7,3.0,4.0,0.7239,0.07076686899999901,0.069677
mp-1206767,AlFe3N,Fe,Al,N,1.83,1.61,3.04,1.4,1.25,0.65,3.0,3.0,0.6554,0.323238184999998,-0.310164
mp-22793,AlFe3C,Fe,Al,C,1.83,1.61,2.55,1.4,1.25,0.7,3.0,3.0,0.6566,0.0,-0.159749
mp-10266,ZnFe3C,Fe,Zn,C,1.83,1.65,2.55,1.4,1.35,0.7,3.0,2.0,0.6903,0.025081435333333003,0.012593
mp-20679,Co3SnC,Co,Sn,C,1.88,1.96,2.55,1.35,1.45,0.7,3.0,4.0,0.7416,0.069131596333331,0.03078
mp-10037,AlCo3C,Co,Al,C,1.88,1.61,2.55,1.35,1.25,0.7,3.0,3.0,0.6726,0.021354330499999002,-0.201228
mp-10271,ZnCo3C,Co,Zn,C,1.88,1.65,2.55,1.35,1.35,0.7,3.0,2.0,0.7071,0.12225201990909002,
mp-1068786,InCo3N,Co,In,N,1.88,1.78,3.04,1.35,1.55,0.65,3.0,3.0,0.7778,0.022525376999999003,-0.024555
mp-1206991,GaNi3C,Ni,Ga,C,1.91,1.81,2.55,1.35,1.3,0.7,2.0,3.0,0.6899,0.157710058500001,-0.065463
mp-8370,Ni3GeC,Ni,Ge,C,1.91,2.01,2.55,1.35,1.25,0.7,2.0,4.0,0.6726,0.320086342499999,0.122262
mp-1017632,Ni3SnN,Ni,Sn,N,1.91,1.96,3.04,1.35,1.45,0.65,2.0,4.0,0.7425,0.080494424249999,-0.073574
mp-1207084,AlNi3C,Ni,Al,C,1.91,1.61,2.55,1.35,1.25,0.7,2.0,3.0,0.6726,0.165907390499999,-0.175228
mp-1069270,ZnNi3N,Ni,Zn,N,1.91,1.65,3.04,1.35,1.35,0.65,2.0,2.0,0.7071,0.0,-0.220545
mp-16290,ZnNi3C,Ni,Zn,C,1.91,1.65,2.55,1.35,1.35,0.7,2.0,2.0,0.7071,0.042992179000000005,-0.058996
mp-1070713,InNi3N,Ni,In,N,1.91,1.78,3.04,1.35,1.55,0.65,2.0,3.0,0.7778,0.0,-0.142051
mp-1017556,CuNi3N,Ni,Cu,N,1.91,1.9,3.04,1.35,1.35,0.65,2.0,2.0,0.7071,0.0,-0.027755
mp-3000,Cr3GaN,Cr,Ga,N,1.66,1.81,3.04,1.4,1.3,0.65,6.0,3.0,0.6726,0.022125520833334,-0.303799
mp-637918,Cr3GeN,Cr,Ge,N,1.66,2.01,3.04,1.4,1.25,0.65,6.0,4.0,0.6554,0.019643323999996,-0.280031
mp-29804,Cr3GeC,Cr,Ge,C,1.66,2.01,2.55,1.4,1.25,0.7,6.0,4.0,0.6566,0.034794967249998004,-0.059273
mp-10376,Cr3SnN,Cr,Sn,N,1.66,1.96,3.04,1.4,1.45,0.65,6.0,4.0,0.7244,0.12584810233333402,-0.173827
