battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-755069_Li,Al2FeO6,Fe,Li3Al2FeO6,1.83,1.4,3.0,3.44,3.0,12,2,11.6805,3.2509,0.0,4,3.1586,4.128404,0.004729
mp-756662_Li,Al3Cr3(SbO8)2,Cr,Li4Al3Cr3(SbO8)2,1.66,1.4,6.0,3.44,4.0,8,2,11.2581,4.526,2.05,0,4.5,4.556347,0.054451
mp-755460_Li,AlVO4,V,Li2AlVO4,1.63,1.35,5.0,3.44,2.0,1,1,12.0074,3.2711,0.0,0,3.0,2.841499,0.007315
mp-757114_Li,Ca3Fe5Sn3O16,Fe,LiCa3Fe5Sn3O16,1.83,1.4,3.0,3.44,1.0,6,2,12.0229,5.1746,0.0,0,2.5,2.575724,0.006546
mp-699599_Li,Ca9Co(PO4)7,Co,LiCa9Co(PO4)7,1.88,1.35,3.0,3.44,1.0,161,5,13.0941,3.0561,2.19,0,2.0,3.038167,0.004021
mp-554324_Li,Ca9Mn(PO4)7,Mn,LiCa9Mn(PO4)7,1.55,1.4,7.0,3.44,1.0,161,5,13.1206,3.0387,2.19,0,2.0,4.469982,0.001746
mp-767071_Li,Co(CO3)2,Co,Li2Co(CO3)2,1.88,1.35,3.0,3.44,2.0,1,1,13.9557,2.3659,0.0,0,2.0,3.094986,0.007545
mp-756594_Li,Co(NiO2)4,Ni,Li3Co(NiO2)4,1.904,1.35,2.2,3.44,3.0,12,2,10.4835,5.1381,0.0,4,3.5,3.712948,0.021135
mp-757774_Li,Co(NiO3)2,Ni,Li3Co(NiO3)2,1.9,1.35,2.3333,3.44,3.0,41,3,11.3385,4.4312,0.0,0,3.5,3.612523,0.02847
mp-26460_Li,Co(PO3)3,Co,LiCo(PO3)3,1.88,1.35,3.0,3.44,1.0,2,1,12.4853,3.0268,2.19,0,3.0,5.370706,0.006637
mp-540530_Li,Co(PO3)4,Co,Li2Co(PO3)4,1.88,1.35,3.0,3.44,2.0,1,1,13.8677,2.6401,2.19,0,2.0,5.311748,0.024026
mp-772268_Li,Co(SO4)2,Co,LiCo(SO4)2,1.88,1.35,3.0,3.44,1.0,146,5,13.7729,2.7517,2.58,0,4.0,4.918742,0.002778
mp-753876_Li,Co(SiO3)2,Co,LiCo(SiO3)2,1.88,1.35,3.0,3.44,1.0,15,2,10.7863,3.611,1.9,4,3.0,4.851233,0.095481
mp-758645_Li,Co13O28,Co,Li14Co13O28,1.88,1.35,3.0,3.44,14.0,2,1,11.4263,4.3035,0.0,0,3.5,3.775022,0.021126
mp-752772_Li,Co2(CO3)3,Co,Li2Co2(CO3)3,1.88,1.35,3.0,3.44,2.0,1,1,12.1606,2.9055,0.0,0,3.0,4.137348,0.022771
mp-1101526_Li,Co2(PO3)5,Co,LiCo2(PO3)5,1.88,1.35,3.0,3.44,1.0,13,2,12.7413,3.0374,2.19,0,2.0,4.859139,0.026801
mp-758304_Li,Co2(PO4)3,Co,Li3Co2(PO4)3,1.88,1.35,3.0,3.44,3.0,167,5,12.1385,3.2412,2.19,5,4.0,4.381303,0.092714
mp-768456_Li,Co2(SO4)3,Co,Li2Co2(SO4)3,1.88,1.35,3.0,3.44,2.0,14,2,12.4302,3.1908,2.58,0,3.0,5.123417,0.107847
mp-758125_Li,Co2C2O7,Co,LiCo2C2O7,1.88,1.35,3.0,3.44,1.0,5,2,15.1311,2.5329,0.0,0,3.1586,3.933058,0.069695
mp-770515_Li,Co2C4SO16,Co,Li6Co2C4SO16,1.88,1.35,3.0,3.44,6.0,1,1,12.1507,2.6974,2.58,0,3.0,4.517149,0.042168
mp-752567_Li,Co2Cu3O10,Co,Li5Co2Cu3O10,1.88,1.35,3.0,3.44,5.0,2,1,11.7304,4.4213,0.0,0,4.0,3.581573,0.009512
mp-754066_Li,Co2CuO6,Co,Li3Co2CuO6,1.88,1.35,3.0,3.44,3.0,8,2,11.4039,4.4882,0.0,0,3.0,3.348009,0.058153
mp-755607_Li,Co2Ni3O10,Ni,Li5Co2Ni3O10,1.898,1.35,2.4,3.44,5.0,2,1,11.3604,4.4235,0.0,0,3.0,4.322343,0.017852
mp-22042_Li,Co2P3O10,Co,LiCo2P3O10,1.88,1.35,3.0,3.44,1.0,11,2,11.7516,3.4928,2.19,0,2.0,4.794025,0.017383
mp-757921_Li,Co2Si3O10,Co,Li4Co2Si3O10,1.88,1.35,3.0,3.44,4.0,1,1,14.2883,2.8056,1.9,0,2.0,3.752549,0.01322
mp-540469_Li,Co3(P2O7)2,Co,Li2Co3(P2O7)2,1.88,1.35,3.0,3.44,2.0,2,1,11.7153,3.5414,2.19,0,2.0,4.965138,0.021371
mp-26567_Li,Co3(P3O10)2,Co,LiCo3(P3O10)2,1.88,1.35,3.0,3.44,1.0,20,3,14.3707,2.7199,2.19,0,3.0,4.435947,0.005643
mp-26177_Li,Co3(PO4)4,Co,Li3Co3(PO4)4,1.88,1.35,3.0,3.44,3.0,1,1,13.437,2.9911,2.19,0,3.0,5.16453,0.009114
mp-758078_Li,Co3(SiO4)2,Co,Li2Co3(SiO4)2,1.88,1.35,3.0,3.44,2.0,1,1,14.1641,3.2552,1.9,0,2.0,3.757831,0.012439
mp-756423_Li,Co3BiO8,Co,Li2Co3BiO8,1.88,1.35,3.0,3.44,2.0,166,5,12.1338,5.8593,0.0,3,3.0,4.435687,0.014539
mp-757881_Li,Co3Cu3(TeO8)2,Co,Li4Co3Cu3(TeO8)2,1.88,1.35,3.0,3.44,4.0,1,1,11.195,5.4302,0.0,0,4.0,4.144303,0.058673
mp-753919_Li,Co3CuO8,Co,Li4Co3CuO8,1.88,1.35,3.0,3.44,4.0,166,5,11.5189,4.4249,0.0,3,3.0,3.767762,0.042755
mp-770952_Li,Co3Ni(PO4)4,Co,Li4Co3Ni(PO4)4,1.8875,1.35,2.75,3.44,4.0,6,2,11.5184,3.6965,2.19,0,2.0,4.490022,0.047825
mp-757279_Li,Co3Ni3(TeO8)2,Co,Li4Co3Ni3(TeO8)2,1.895,1.35,2.5,3.44,4.0,8,2,11.0576,5.4066,0.0,0,3.0,4.223693,0.079879
mp-760934_Li,Co3Ni5O16,Ni,Li6Co3Ni5O16,1.8987,1.35,2.375,3.44,6.0,8,2,10.7969,4.654,0.0,0,3.0,2.88797,0.003207
mp-1284600_Li,Co3NiO8,Co,Li4Co3NiO8,1.8875,1.35,2.75,3.44,4.0,15,2,11.749,4.2811,0.0,4,3.1586,3.417042,0.014886
mp-775872_Li,Co3P4O15,Co,Li4Co3P4O15,1.88,1.35,3.0,3.44,4.0,33,3,13.5654,3.0084,2.19,0,3.0,4.846628,0.021918
mp-764378_Li,Co3Sb(PO4)6,Co,Li6Co3Sb(PO4)6,1.88,1.35,3.0,3.44,6.0,1,1,12.7885,3.3164,2.19,0,4.0,4.271529,0.088492
mp-757530_Li,Co3SbO8,Co,Li2Co3SbO8,1.88,1.35,3.0,3.44,2.0,186,6,10.722,5.5051,2.05,0,4.0,4.445312,0.049825
mp-771769_Li,Co3SnO8,Co,Li2Co3SnO8,1.88,1.35,3.0,3.44,2.0,186,6,10.9155,5.3689,0.0,0,4.0,4.0451,0.056191
