tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,neg_avg_voltage,max_delta_volume
1.83,1.4,3.0,3.44,3.0,12,2,11.6805,3.2509,,
1.66,1.4,6.0,3.44,4.0,8,2,11.2581,4.526,,
1.63,1.35,5.0,3.44,2.0,1,1,12.0074,3.2711,,
1.83,1.4,3.0,3.44,1.0,6,2,12.0229,5.1746,-2.575724,0.006546
1.88,1.35,3.0,3.44,1.0,161,5,13.0941,3.0561,,
1.55,1.4,7.0,3.44,1.0,161,5,13.1206,3.0387,,
1.88,1.35,3.0,3.44,2.0,1,1,13.9557,2.3659,,
1.904,1.35,2.2,3.44,3.0,12,2,10.4835,5.1381,,
1.9,1.35,2.3333,3.44,3.0,41,3,11.3385,4.4312,,
1.88,1.35,3.0,3.44,1.0,2,1,12.4853,3.0268,,
1.88,1.35,3.0,3.44,2.0,1,1,13.8677,2.6401,,
1.88,1.35,3.0,3.44,1.0,146,5,13.7729,2.7517,,
1.88,1.35,3.0,3.44,1.0,15,2,10.7863,3.611,,
1.88,1.35,3.0,3.44,14.0,2,1,11.4263,4.3035,-3.775022,0.021126
1.88,1.35,3.0,3.44,2.0,1,1,12.1606,2.9055,,
1.88,1.35,3.0,3.44,1.0,13,2,12.7413,3.0374,,
1.88,1.35,3.0,3.44,3.0,167,5,12.1385,3.2412,-4.381303,0.092714
1.88,1.35,3.0,3.44,2.0,14,2,12.4302,3.1908,,
1.88,1.35,3.0,3.44,1.0,5,2,15.1311,2.5329,,
1.88,1.35,3.0,3.44,6.0,1,1,12.1507,2.6974,,
1.88,1.35,3.0,3.44,5.0,2,1,11.7304,4.4213,,
1.88,1.35,3.0,3.44,3.0,8,2,11.4039,4.4882,,
1.898,1.35,2.4,3.44,5.0,2,1,11.3604,4.4235,,
1.88,1.35,3.0,3.44,1.0,11,2,11.7516,3.4928,,
1.88,1.35,3.0,3.44,4.0,1,1,14.2883,2.8056,,
1.88,1.35,3.0,3.44,2.0,2,1,11.7153,3.5414,,
1.88,1.35,3.0,3.44,1.0,20,3,14.3707,2.7199,,
1.88,1.35,3.0,3.44,3.0,1,1,13.437,2.9911,,
1.88,1.35,3.0,3.44,2.0,1,1,14.1641,3.2552,,
1.88,1.35,3.0,3.44,2.0,166,5,12.1338,5.8593,,
1.88,1.35,3.0,3.44,4.0,1,1,11.195,5.4302,,
1.88,1.35,3.0,3.44,4.0,166,5,11.5189,4.4249,,
1.8875,1.35,2.75,3.44,4.0,6,2,11.5184,3.6965,,
1.895,1.35,2.5,3.44,4.0,8,2,11.0576,5.4066,,
1.8987,1.35,2.375,3.44,6.0,8,2,10.7969,4.654,,
1.8875,1.35,2.75,3.44,4.0,15,2,11.749,4.2811,,
1.88,1.35,3.0,3.44,4.0,33,3,13.5654,3.0084,,
1.88,1.35,3.0,3.44,6.0,1,1,12.7885,3.3164,,
1.88,1.35,3.0,3.44,2.0,186,6,10.722,5.5051,,
1.88,1.35,3.0,3.44,2.0,186,6,10.9155,5.3689,,
1.88,1.35,3.0,3.44,2.0,166,5,11.3976,5.2497,,
1.88,1.35,3.0,3.44,6.0,2,1,12.6684,3.1664,,
1.88,1.35,3.0,3.44,4.0,14,2,12.8154,3.2688,,
1.885,1.35,2.8333,3.44,4.0,12,2,11.11,4.5283,,
1.88,1.35,3.0,3.44,4.0,12,2,11.6138,4.8329,,
1.88,1.35,3.0,3.44,4.0,8,2,11.483,5.6244,,
1.88,1.35,3.0,3.44,1.0,11,2,11.6044,3.6911,,
1.88,1.35,3.0,3.44,5.0,4,2,11.4787,4.2048,,
1.88,1.35,3.0,3.44,14.0,1,1,13.2562,2.9723,,
1.88,1.35,3.0,3.44,2.0,14,2,15.1758,2.4609,,
1.88,1.35,3.0,3.44,2.0,4,2,14.6094,2.4438,,
1.88,1.35,3.0,3.44,5.0,11,2,12.2829,3.5197,-3.999562,0.060604
1.88,1.35,3.0,3.44,6.0,6,2,12.7837,3.4068,,
1.88,1.35,3.0,3.44,2.0,12,2,11.2909,4.5708,,
1.88,1.35,3.0,3.44,2.0,7,2,15.1797,3.5656,,
1.88,1.35,3.0,3.44,2.0,9,2,10.1489,1.9557,-4.671781,0.048372
1.88,1.35,3.0,3.44,2.0,14,2,11.5973,2.0115,,
1.895,1.35,2.5,3.44,2.0,11,2,11.4394,3.7206,,
1.9025,1.35,2.25,3.44,4.0,2,1,11.411,4.4021,,
1.907,1.35,2.1,3.44,10.0,1,1,11.3764,4.4137,,
1.88,1.35,3.0,3.44,4.0,1,1,20.9372,2.1202,,
1.88,1.35,3.0,3.44,1.0,5,2,12.0438,3.2108,-5.270537,0.024011
1.88,1.35,3.0,3.44,3.0,4,2,13.1003,2.7115,,
1.88,1.35,3.0,3.44,2.0,2,1,10.5115,3.3749,,
1.88,1.35,3.0,3.44,1.0,62,3,11.3528,3.7518,,
1.88,1.35,3.0,3.98,2.0,2,1,12.9745,3.1613,,
1.88,1.35,3.0,3.44,1.0,74,3,12.4792,5.4266,,
1.88,1.35,3.0,3.44,2.0,7,2,14.8783,2.8091,,
1.88,1.35,3.0,3.44,3.0,7,2,15.4108,2.5709,,
1.88,1.35,3.0,3.44,2.0,11,2,12.6125,4.033,,
1.88,1.35,3.0,3.44,2.0,74,3,13.6722,4.8914,,
1.66,1.4,6.0,3.44,3.0,1,1,12.9696,2.4129,,
1.66,1.4,6.0,3.44,4.0,2,1,11.5479,2.7483,,
1.66,1.4,6.0,3.44,3.0,40,3,12.7548,2.3236,,
1.8067,1.3667,4.0,3.44,2.0,64,3,11.5439,4.2492,,
1.7733,1.4,4.0,3.44,3.0,2,1,12.4421,3.8509,,
