composition_id,formula,a_ion,b_ion,a_radius,b_radius,a_eneg,b_eneg,tolerance_factor,octahedral_factor,na_analogue,t_deviation,b_radius_norm
Li3-O-CN-,Li3(O)(CN-),O2-,CN-,1.4,1.91,3.44,2.55,0.8741,0.733,1,0.0259,0.7235
Li3-O-BH4-,Li3(O)(BH4-),O2-,BH4-,1.4,2.03,3.44,2.04,0.9133,0.6897,0,0.0133,0.7689
Li3-O-OCN-,Li3(O)(OCN-),O2-,OCN-,1.4,2.16,3.44,3.44,0.9559,0.6481,0,0.0559,0.8182
Li3-O-NO2-,Li3(O)(NO2-),O2-,NO2-,1.4,2.162,3.44,3.04,0.9566,0.6475,1,0.0566,0.8189
Li3-O-BF4-,Li3(O)(BF4-),O2-,BF4-,1.4,2.28,3.44,3.98,0.9952,0.614,0,0.0952,0.8636
Li3-S-BF4-,Li3(S)(BF4-),S2-,BF4-,1.84,2.28,2.58,3.98,0.8268,0.807,0,0.0732,0.8636
Li3-S-N3-,Li3(S)(N3-),S2-,N3-,1.84,2.31,2.58,3.04,0.8349,0.7965,0,0.0651,0.875
Li3-S-ClO4-,Li3(S)(ClO4-),S2-,ClO4-,1.84,2.36,2.58,3.16,0.8485,0.7797,0,0.0515,0.8939
Li3-S-AlH4-,Li3(S)(AlH4-),S2-,AlH4-,1.84,2.53,2.58,1.61,0.8948,0.7273,0,0.0052,0.9583
Li3-S-SCN-,Li3(S)(SCN-),S2-,SCN-,1.84,2.56,2.58,2.58,0.9029,0.7188,0,0.0029,0.9697
Li3-S-NO3-,Li3(S)(NO3-),S2-,NO3-,1.84,2.64,2.58,3.04,0.9247,0.697,0,0.0247,1.0
Li3-Se-ClO4-,Li3(Se)(ClO4-),Se2-,ClO4-,1.98,2.36,2.55,3.16,0.8052,0.839,0,0.0948,0.8939
Li3-Se-AlH4-,Li3(Se)(AlH4-),Se2-,AlH4-,1.98,2.53,2.55,1.61,0.849,0.7826,0,0.051,0.9583
Li3-Se-SCN-,Li3(Se)(SCN-),Se2-,SCN-,1.98,2.56,2.55,2.58,0.8568,0.7734,0,0.0432,0.9697
Li3-Se-NO3-,Li3(Se)(NO3-),Se2-,NO3-,1.98,2.64,2.55,3.04,0.8774,0.75,0,0.0226,1.0
Li3-Te-NO3-,Li3(Te)(NO3-),Te2-,NO3-,2.21,2.64,2.1,3.04,0.8095,0.8371,0,0.0905,1.0
