A_site,B_site,r_A,r_B,r_B_source,tolerance_factor,octahedral_factor,in_cubic_window
O²⁻,H⁻,1.4,1.4,Shannon 1976,0.7071,0.5429,False
O²⁻,OH⁻,1.4,1.33,Shannon 1976,0.6842,0.5429,False
O²⁻,NH₂⁻,1.4,1.28,Jenkins 1999,0.6678,0.5429,False
O²⁻,HCOO⁻,1.4,1.36,Jenkins 1999,0.694,0.5429,False
O²⁻,NO₂⁻,1.4,1.55,Jenkins 1999,0.7562,0.5429,False
O²⁻,OCN⁻,1.4,1.59,Jenkins 1999,0.7693,0.5429,False
O²⁻,CH₃COO⁻,1.4,1.62,Jenkins 1999,0.7791,0.5429,False
O²⁻,CN⁻,1.4,1.77,Jenkins 1999,0.8282,0.5429,True
O²⁻,NO₃⁻,1.4,1.79,Jenkins 1999,0.8348,0.5429,True
O²⁻,N₃⁻,1.4,1.8,Jenkins 1999,0.8381,0.5429,True
O²⁻,BH₄⁻,1.4,2.05,Jenkins 1999,0.9199,0.5429,True
O²⁻,SCN⁻,1.4,2.13,Jenkins 1999,0.9461,0.5429,True
O²⁻,AlH₄⁻,1.4,2.26,Jenkins 1999,0.9886,0.5429,False
O²⁻,BF₄⁻,1.4,2.28,Jenkins 1999,0.9952,0.5429,False
O²⁻,ClO₄⁻,1.4,2.36,Jenkins 1999,1.0214,0.5429,False
S²⁻,H⁻,1.84,1.4,Shannon 1976,0.5874,0.413,False
S²⁻,OH⁻,1.84,1.33,Shannon 1976,0.5684,0.413,False
S²⁻,NH₂⁻,1.84,1.28,Jenkins 1999,0.5548,0.413,False
S²⁻,HCOO⁻,1.84,1.36,Jenkins 1999,0.5766,0.413,False
S²⁻,NO₂⁻,1.84,1.55,Jenkins 1999,0.6282,0.413,False
S²⁻,OCN⁻,1.84,1.59,Jenkins 1999,0.6391,0.413,False
S²⁻,CH₃COO⁻,1.84,1.62,Jenkins 1999,0.6473,0.413,False
S²⁻,CN⁻,1.84,1.77,Jenkins 1999,0.6881,0.413,False
S²⁻,NO₃⁻,1.84,1.79,Jenkins 1999,0.6935,0.413,False
S²⁻,N₃⁻,1.84,1.8,Jenkins 1999,0.6962,0.413,False
S²⁻,BH₄⁻,1.84,2.05,Jenkins 1999,0.7642,0.413,False
S²⁻,SCN⁻,1.84,2.13,Jenkins 1999,0.786,0.413,False
S²⁻,AlH₄⁻,1.84,2.26,Jenkins 1999,0.8213,0.413,True
S²⁻,BF₄⁻,1.84,2.28,Jenkins 1999,0.8268,0.413,True
S²⁻,ClO₄⁻,1.84,2.36,Jenkins 1999,0.8485,0.413,True
Se²⁻,H⁻,1.98,1.4,Shannon 1976,0.5574,0.3838,False
Se²⁻,OH⁻,1.98,1.33,Shannon 1976,0.5394,0.3838,False
Se²⁻,NH₂⁻,1.98,1.28,Jenkins 1999,0.5265,0.3838,False
Se²⁻,HCOO⁻,1.98,1.36,Jenkins 1999,0.5471,0.3838,False
Se²⁻,NO₂⁻,1.98,1.55,Jenkins 1999,0.5961,0.3838,False
Se²⁻,OCN⁻,1.98,1.59,Jenkins 1999,0.6065,0.3838,False
Se²⁻,CH₃COO⁻,1.98,1.62,Jenkins 1999,0.6142,0.3838,False
Se²⁻,CN⁻,1.98,1.77,Jenkins 1999,0.6529,0.3838,False
Se²⁻,NO₃⁻,1.98,1.79,Jenkins 1999,0.6581,0.3838,False
Se²⁻,N₃⁻,1.98,1.8,Jenkins 1999,0.6607,0.3838,False
Se²⁻,BH₄⁻,1.98,2.05,Jenkins 1999,0.7252,0.3838,False
Se²⁻,SCN⁻,1.98,2.13,Jenkins 1999,0.7458,0.3838,False
Se²⁻,AlH₄⁻,1.98,2.26,Jenkins 1999,0.7794,0.3838,False
Se²⁻,BF₄⁻,1.98,2.28,Jenkins 1999,0.7845,0.3838,False
Se²⁻,ClO₄⁻,1.98,2.36,Jenkins 1999,0.8052,0.3838,True
Te²⁻,H⁻,2.21,1.4,Shannon 1976,0.5143,0.3439,False
Te²⁻,OH⁻,2.21,1.33,Shannon 1976,0.4976,0.3439,False
Te²⁻,NH₂⁻,2.21,1.28,Jenkins 1999,0.4857,0.3439,False
Te²⁻,HCOO⁻,2.21,1.36,Jenkins 1999,0.5047,0.3439,False
Te²⁻,NO₂⁻,2.21,1.55,Jenkins 1999,0.55,0.3439,False
Te²⁻,OCN⁻,2.21,1.59,Jenkins 1999,0.5595,0.3439,False
Te²⁻,CH₃COO⁻,2.21,1.62,Jenkins 1999,0.5666,0.3439,False
Te²⁻,CN⁻,2.21,1.77,Jenkins 1999,0.6024,0.3439,False
Te²⁻,NO₃⁻,2.21,1.79,Jenkins 1999,0.6071,0.3439,False
Te²⁻,N₃⁻,2.21,1.8,Jenkins 1999,0.6095,0.3439,False
Te²⁻,BH₄⁻,2.21,2.05,Jenkins 1999,0.669,0.3439,False
Te²⁻,SCN⁻,2.21,2.13,Jenkins 1999,0.6881,0.3439,False
Te²⁻,AlH₄⁻,2.21,2.26,Jenkins 1999,0.719,0.3439,False
Te²⁻,BF₄⁻,2.21,2.28,Jenkins 1999,0.7238,0.3439,False
Te²⁻,ClO₄⁻,2.21,2.36,Jenkins 1999,0.7428,0.3439,False
