material_id,formula,metal,x_fraction,mean_eneg,mean_radius,max_oxid,formation_energy_per_atom
mp-684733,Ti10O11,Ti,0.4762,1.54,1.4,4.0,-2.856115
mp-753593,Ti10O13,Ti,0.4348,1.54,1.4,4.0,-3.137637
mp-1101463,Ti11O14,Ti,0.44,1.54,1.4,4.0,-3.097261
mp-2739250,Ti11O14,Ti,0.44,1.54,1.4,4.0,
mp-759754,Ti11O14,Ti,0.44,1.54,1.4,4.0,
mp-760747,Ti11O18,Ti,0.3793,1.54,1.4,4.0,-3.34913
mp-656852,Ti13O22,Ti,0.3714,1.54,1.4,4.0,-3.379983
mp-760075,Ti19O30,Ti,0.3878,1.54,1.4,4.0,-3.330664
mp-1215,Ti2O,Ti,0.6667,1.54,1.4,4.0,
mp-1217152,Ti2O,Ti,0.6667,1.54,1.4,4.0,
mp-1244955,Ti2O,Ti,0.6667,1.54,1.4,4.0,
mp-1245066,Ti2O,Ti,0.6667,1.54,1.4,4.0,
mp-1245186,Ti2O,Ti,0.6667,1.54,1.4,4.0,
mp-1245206,Ti2O,Ti,0.6667,1.54,1.4,4.0,
mp-1245309,Ti2O,Ti,0.6667,1.54,1.4,4.0,
mp-1046793,Ti2O3,Ti,0.4,1.54,1.4,4.0,
mp-1101295,Ti2O3,Ti,0.4,1.54,1.4,4.0,
mp-1179268,Ti2O3,Ti,0.4,1.54,1.4,4.0,
mp-1188323,Ti2O3,Ti,0.4,1.54,1.4,4.0,
mp-458,Ti2O3,Ti,0.4,1.54,1.4,4.0,
mp-776456,Ti2O3,Ti,0.4,1.54,1.4,4.0,
mp-776655,Ti2O3,Ti,0.4,1.54,1.4,4.0,
mp-656850,Ti2O7,Ti,0.2222,1.54,1.4,4.0,
mp-1244956,Ti3O,Ti,0.75,1.54,1.4,4.0,
mp-1245140,Ti3O,Ti,0.75,1.54,1.4,4.0,
mp-1245176,Ti3O,Ti,0.75,1.54,1.4,4.0,
mp-2591,Ti3O,Ti,0.75,1.54,1.4,4.0,
mp-554032,Ti3O,Ti,0.75,1.54,1.4,4.0,
mp-557812,Ti3O,Ti,0.75,1.54,1.4,4.0,
mp-978968,Ti3O2,Ti,0.6,1.54,1.4,4.0,
mp-1217157,Ti3O4,Ti,0.4286,1.54,1.4,4.0,
mp-755875,Ti3O4,Ti,0.4286,1.54,1.4,4.0,
mp-1147,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-1245031,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-1245051,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-1245086,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-1245135,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-1245292,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-556480,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-556754,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-8057,Ti3O5,Ti,0.375,1.54,1.4,4.0,
mp-1105338,Ti3O7,Ti,0.3,1.54,1.4,4.0,
mp-1179358,Ti3O7,Ti,0.3,1.54,1.4,4.0,
mp-1205462,Ti3O7,Ti,0.3,1.54,1.4,4.0,
mp-1217105,Ti3O8,Ti,0.2727,1.54,1.4,4.0,
mp-1217135,Ti4O3,Ti,0.5714,1.54,1.4,4.0,
mp-10734,Ti4O5,Ti,0.4444,1.54,1.4,4.0,
mp-12205,Ti4O7,Ti,0.3636,1.54,1.4,4.0,
mp-778663,Ti4O7,Ti,0.3636,1.54,1.4,4.0,
mp-1045759,Ti5O7,Ti,0.4167,1.54,1.4,4.0,
mp-759920,Ti5O8,Ti,0.3846,1.54,1.4,4.0,
mp-748,Ti5O9,Ti,0.3571,1.54,1.4,4.0,-3.42532
mp-554098,Ti6O,Ti,0.8571,1.54,1.4,4.0,
mp-882,Ti6O,Ti,0.8571,1.54,1.4,4.0,
mp-30524,Ti6O11,Ti,0.3529,1.54,1.4,4.0,
mp-559964,Ti6O11,Ti,0.3529,1.54,1.4,4.0,
mp-556724,Ti7O13,Ti,0.35,1.54,1.4,4.0,
mp-779692,Ti7O8,Ti,0.4667,1.54,1.4,4.0,
mp-752989,Ti8O13,Ti,0.381,1.54,1.4,4.0,
mp-565700,Ti8O15,Ti,0.3478,1.54,1.4,4.0,
mp-1217149,Ti9O10,Ti,0.4737,1.54,1.4,4.0,
mp-32813,Ti9O10,Ti,0.4737,1.54,1.4,4.0,
mp-1045643,Ti9O13,Ti,0.4091,1.54,1.4,4.0,
mp-27273,Ti9O17,Ti,0.3462,1.54,1.4,4.0,
mp-32544,Ti9O8,Ti,0.5294,1.54,1.4,4.0,
mp-1071163,TiO,Ti,0.5,1.54,1.4,4.0,
mp-1203,TiO,Ti,0.5,1.54,1.4,4.0,
mp-1244926,TiO,Ti,0.5,1.54,1.4,4.0,
mp-1244944,TiO,Ti,0.5,1.54,1.4,4.0,
