x_fraction,mean_eneg,mean_radius,max_oxid,formation_energy_per_atom
0.4762,1.54,1.4,4.0,-2.856115
0.4348,1.54,1.4,4.0,-3.137637
0.44,1.54,1.4,4.0,-3.097261
0.44,1.54,1.4,4.0,
0.44,1.54,1.4,4.0,
0.3793,1.54,1.4,4.0,-3.34913
0.3714,1.54,1.4,4.0,-3.379983
0.3878,1.54,1.4,4.0,-3.330664
0.6667,1.54,1.4,4.0,
0.6667,1.54,1.4,4.0,
0.6667,1.54,1.4,4.0,
0.6667,1.54,1.4,4.0,
0.6667,1.54,1.4,4.0,
0.6667,1.54,1.4,4.0,
0.6667,1.54,1.4,4.0,
0.4,1.54,1.4,4.0,
0.4,1.54,1.4,4.0,
0.4,1.54,1.4,4.0,
0.4,1.54,1.4,4.0,
0.4,1.54,1.4,4.0,
0.4,1.54,1.4,4.0,
0.4,1.54,1.4,4.0,
0.2222,1.54,1.4,4.0,
0.75,1.54,1.4,4.0,
0.75,1.54,1.4,4.0,
0.75,1.54,1.4,4.0,
0.75,1.54,1.4,4.0,
0.75,1.54,1.4,4.0,
0.75,1.54,1.4,4.0,
0.6,1.54,1.4,4.0,
0.4286,1.54,1.4,4.0,
0.4286,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.375,1.54,1.4,4.0,
0.3,1.54,1.4,4.0,
0.3,1.54,1.4,4.0,
0.3,1.54,1.4,4.0,
0.2727,1.54,1.4,4.0,
0.5714,1.54,1.4,4.0,
0.4444,1.54,1.4,4.0,
0.3636,1.54,1.4,4.0,
0.3636,1.54,1.4,4.0,
0.4167,1.54,1.4,4.0,
0.3846,1.54,1.4,4.0,
0.3571,1.54,1.4,4.0,-3.42532
0.8571,1.54,1.4,4.0,
0.8571,1.54,1.4,4.0,
0.3529,1.54,1.4,4.0,
0.3529,1.54,1.4,4.0,
0.35,1.54,1.4,4.0,
0.4667,1.54,1.4,4.0,
0.381,1.54,1.4,4.0,
0.3478,1.54,1.4,4.0,
0.4737,1.54,1.4,4.0,
0.4737,1.54,1.4,4.0,
0.4091,1.54,1.4,4.0,
0.3462,1.54,1.4,4.0,
0.5294,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.5,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,-3.199731
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.3333,1.54,1.4,4.0,
0.5263,1.63,1.35,5.0,
0.2927,1.63,1.35,5.0,
0.4483,1.63,1.35,5.0,
0.8421,1.63,1.35,5.0,
0.4386,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.4,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
0.2857,1.63,1.35,5.0,
