battery_id,framework_formula,primary_tm,formula_discharge,tm_eneg,tm_ionic_radius,tm_max_oxidation_state,anion_eneg,li_per_fu,spacegroup_number,crystal_system,volume_per_atom,density,polyanion_eneg,structure_prototype,tm_oxidation_discharge,average_voltage,max_delta_volume
mp-6496_Na,Ba2(CuO2)3,Cu,Ba2Na(CuO2)3,1.9,1.35,2.0,3.44,0.0,69,3,15.8638,5.3411,0.0,0,3.2495,2.459639,0.025768
mp-562419_Na,Ca9Co(PO4)7,Co,NaCa9Co(PO4)7,1.88,1.35,3.0,3.44,0.0,161,5,13.0941,3.0561,2.19,0,2.0,3.342797,4.5e-05
mp-16553_Na,Ca9Mn(PO4)7,Mn,NaCa9Mn(PO4)7,1.55,1.4,7.0,3.44,0.0,161,5,13.1206,3.0387,2.19,0,2.0,4.632048,0.006387
mp-694890_Na,CaFe2(SiO3)4,Fe,NaCaFe2(SiO3)4,1.83,1.4,3.0,3.44,0.0,5,2,11.7073,3.4049,1.9,0,2.5,2.733554,0.027761
mp-771495_Na,Co2As(CO4)4,Co,Na6Co2As(CO4)4,1.88,1.35,3.0,3.44,0.0,22,3,15.4081,2.3279,2.18,0,3.2495,3.391257,0.026515
mp-771839_Na,Co2C4SO16,Co,Na6Co2C4SO16,1.88,1.35,3.0,3.44,0.0,1,1,14.83,2.2101,2.58,0,3.0,4.203536,0.001708
mp-768461_Na,Co2P(CO4)4,Co,Na6Co2P(CO4)4,1.88,1.35,3.0,3.44,0.0,70,3,15.0464,2.173,2.19,0,3.0,4.224463,0.018676
mp-25270_Na,Co2P3O10,Co,NaCo2P3O10,1.88,1.35,3.0,3.44,0.0,11,2,11.7516,3.4928,2.19,0,3.2495,4.302846,0.04713
mp-562546_Na,Co3P4O15,Co,Na4Co3P4O15,1.88,1.35,3.0,3.44,0.0,33,3,13.5654,3.0084,2.19,0,2.0,4.738211,0.072643
mp-772152_Na,CoAsCO7,Co,Na3CoAsCO7,1.88,1.35,3.0,3.44,0.0,4,2,15.3448,2.7905,2.18,0,4.0,3.762422,0.077376
mp-771066_Na,CoBAsO7,Co,Na3CoBAsO7,1.88,1.35,3.0,3.44,0.0,11,2,15.9546,2.6713,2.04,0,3.0,3.710628,0.031366
mp-770820_Na,CoCSO7,Co,Na2CoCSO7,1.88,1.35,3.0,3.44,0.0,4,2,15.3303,2.3289,2.58,0,3.0,3.832829,0.051936
mp-23689_Na,CoH8(SO6)2,Co,Na2CoH8(SO6)2,1.88,1.35,3.0,3.44,0.0,14,2,11.5973,2.0115,2.58,0,2.0,4.997185,0.036748
mp-18921_Na,CoO2,Co,NaCoO2,1.88,1.35,3.0,3.44,0.0,166,5,11.1296,4.5224,0.0,3,3.0,3.056322,0.167785
mp-19427_Na,CoO3,Co,Na7(CoO3)2,1.88,1.35,3.0,3.44,0.0,15,2,27.1541,1.6348,0.0,4,3.2495,2.179217,0.013961
mp-21792_Na,CoO4,Co,Na5CoO4,1.88,1.35,3.0,3.44,0.0,1,1,27.2379,1.4989,0.0,0,3.0,1.676877,0.039442
mp-26646_Na,CoP2O7,Co,Na2CoP2O7,1.88,1.35,3.0,3.44,0.0,2,1,14.278,2.7084,2.19,0,4.0,4.392706,0.048271
mp-770948_Na,CoPCO7,Co,Na3CoPCO7,1.88,1.35,3.0,3.44,0.0,4,2,14.769,2.4051,2.19,0,2.0,3.923406,0.066817
mp-18245_Na,CoPO4,Co,NaCoPO4,1.88,1.35,3.0,3.44,0.0,62,3,11.3528,3.7518,2.19,1,2.0,4.456062,0.149584
mp-771009_Na,CoSiCO7,Co,Na3CoSiCO7,1.88,1.35,3.0,3.44,0.0,11,2,14.7164,2.3811,1.9,0,4.0,3.220915,0.03516
mp-21213_Na,Cr(GeO3)2,Cr,NaCr(GeO3)2,1.66,1.4,6.0,3.44,0.0,2,1,12.8481,4.2115,2.01,0,3.0,4.347085,0.03635
mp-19367_Na,Cr(SiO3)2,Cr,NaCr(SiO3)2,1.66,1.4,6.0,3.44,0.0,15,2,11.6981,3.2201,1.9,4,3.0,4.195463,0.044874
mp-26316_Na,Cr2(PO4)3,Cr,Na3Cr2(PO4)3,1.66,1.4,6.0,3.44,0.0,148,5,13.2081,2.8761,2.19,5,3.2495,4.291305,0.087594
mp-559281_Na,Cr2(PS4)3,Cr,Na3Cr2(PS4)3,1.66,1.4,6.0,2.58,0.0,14,2,29.1944,1.9462,2.58,0,3.0,3.119357,0.00493
mp-769542_Na,Cr2As(CO4)4,Cr,Na6Cr2As(CO4)4,1.66,1.4,6.0,3.44,0.0,70,3,15.0443,2.3177,2.18,0,3.0,3.036277,0.020453
mp-770560_Na,Cr2C4SO16,Cr,Na6Cr2C4SO16,1.66,1.4,6.0,3.44,0.0,70,3,14.6367,2.1708,2.58,0,3.0,2.08598,0.039853
