material_id,formula,A,B,X,a_eneg,b_eneg,x_eneg,a_radius,b_radius,x_radius,a_max_oxid,b_max_oxid,tolerance_factor,octahedral_factor,spacegroup_number,crystal_system,volume_per_atom,density,energy_above_hull,formation_energy_per_atom,band_gap_raw,band_gap
mp-1068340,CsGeBr3,Cs,Ge,Br,0.79,2.01,2.96,1.88,0.73,1.96,1.0,4.0,1.0094,0.3724,160,5,36.4029,4.0621,0.0,-1.446722,0.7856,2.3356
mp-22988,CsGeCl3,Cs,Ge,Cl,0.79,2.01,3.16,1.88,0.73,1.81,1.0,4.0,1.0273,0.4033,160,5,32.5851,3.1789,0.0,-1.710206,2.1535,3.7535
mp-28377,CsGeI3,Cs,Ge,I,0.79,2.01,2.66,1.88,0.73,2.2,1.0,4.0,0.9846,0.3318,160,5,45.0136,4.3254,0.0,-1.069609,0.9905,1.6405
mp-567681,CsPbBr3,Cs,Pb,Br,0.79,2.33,2.96,1.88,1.19,1.96,1.0,4.0,0.862,0.6071,62,3,38.4604,5.0068,0.0,-1.63437,2.8808,3.3308
mp-1539667,CsPbCl3,Cs,Pb,Cl,0.79,2.33,3.16,1.88,1.19,1.81,1.0,4.0,0.8697,0.6575,127,4,35.6965,4.1537,0.0,-1.886794,2.7365,3.2365
mp-540839,CsPbI3,Cs,Pb,I,0.79,2.33,2.66,1.88,1.19,2.2,1.0,4.0,0.851,0.5409,62,3,46.5423,5.1435,0.0,-1.263227,2.5181,2.7181
mp-1247749,CsSnBr3,Cs,Sn,Br,0.79,1.96,2.96,1.88,1.18,1.96,1.0,4.0,0.8647,0.602,62,3,39.151,4.1678,0.0,-1.572084,0.9682,2.1182
mp-27394,CsSnCl3,Cs,Sn,Cl,0.79,1.96,3.16,1.88,1.18,1.81,1.0,4.0,0.8727,0.6519,14,2,35.3877,3.3595,0.0,-1.577583,2.9154,3.9154
mp-614013,CsSnI3,Cs,Sn,I,0.79,1.96,2.66,1.88,1.18,2.2,1.0,4.0,0.8535,0.5364,221,7,49.6822,4.2269,0.0,-1.181536,0.45,1.2
mp-998612,KGeBr3,K,Ge,Br,0.82,2.01,2.96,1.64,0.73,1.96,1.0,4.0,0.9463,0.3724,11,2,34.2765,3.4052,0.0,-1.387192,2.9026,4.4526
mp-998613,KGeCl3,K,Ge,Cl,0.82,2.01,3.16,1.64,0.73,1.81,1.0,4.0,0.9604,0.4033,161,5,31.3531,2.3102,0.0,-1.655677,2.8924,4.4924
mp-1211504,KPbI3,K,Pb,I,0.82,2.33,2.66,1.64,1.19,2.2,1.0,4.0,0.801,0.5409,62,3,43.0321,4.8391,0.014278023499999001,-1.206838,2.4115,2.6115
mp-1097014,KSnBr3,K,Sn,Br,0.82,1.96,2.96,1.64,1.18,1.96,1.0,4.0,0.8107,0.602,62,3,33.2521,3.9703,0.012274417499998,-1.49901,2.2679,3.4179
mp-1097015,KSnI3,K,Sn,I,0.82,1.96,2.66,1.64,1.18,2.2,1.0,4.0,0.8033,0.5364,62,3,41.8103,4.2776,0.0,-1.124101,1.9381,2.6881
mp-1120721,RbGeBr3,Rb,Ge,Br,0.82,2.01,2.96,1.72,0.73,1.96,1.0,4.0,0.9673,0.3724,11,2,35.933,3.6768,0.0,-1.4183,3.1238,4.6738
mp-27369,RbGeCl3,Rb,Ge,Cl,0.82,2.01,3.16,1.72,0.73,1.81,1.0,4.0,0.9827,0.4033,11,2,31.1871,2.8163,0.0,-1.69138,3.7529,5.3529
mp-567855,RbGeI3,Rb,Ge,I,0.82,2.01,2.66,1.72,0.73,2.2,1.0,4.0,0.946,0.3318,19,3,40.8361,4.3821,0.005060806333333,-1.030275,2.1987,2.8487
mp-998603,RbPbBr3,Rb,Pb,Br,0.82,2.33,2.96,1.72,1.19,1.96,1.0,4.0,0.8261,0.6071,63,3,36.7804,4.8071,0.0,-1.612417,2.8211,3.2711
mp-998604,RbPbCl3,Rb,Pb,Cl,0.82,2.33,3.16,1.72,1.19,1.81,1.0,4.0,0.832,0.6575,63,3,32.1328,4.1241,0.0,-1.866759,3.263,3.763
mp-23517,RbPbI3,Rb,Pb,I,0.82,2.33,2.66,1.72,1.19,2.2,1.0,4.0,0.8177,0.5409,62,3,44.31,5.0471,0.0,-1.235947,2.4518,2.6518
mp-998778,RbSnBr3,Rb,Sn,Br,0.82,1.96,2.96,1.72,1.18,1.96,1.0,4.0,0.8287,0.602,62,3,35.0513,4.2058,0.0,-1.523624,2.5418,3.6918
mp-2047197,RbSnCl3,Rb,Sn,Cl,0.82,1.96,3.16,1.72,1.18,1.81,1.0,4.0,0.8348,0.6519,161,5,33.5329,3.0755,0.0,-1.531116,3.5424,4.5424
mp-29405,RbSnI3,Rb,Sn,I,0.82,1.96,2.66,1.72,1.18,2.2,1.0,4.0,0.8201,0.5364,62,3,43.1289,4.5039,0.0,-1.152262,2.0077,2.7577
